"id","label","rank","x","y","cost","target"
50558,"Kaudos",70,24.060,34.860,0.0,0
50217,"Kellis",80,29.089,25.518,0.0,0
50556,"Kimaros Pr.",60,23.600,35.630,0.0,0
50787,"Kimolos",70,24.550,36.800,0.0,0
50788,"Kinaros",70,26.289,36.980,0.0,0
50218,"Klaudianon",80,33.490,26.807,0.0,0
50634,"Kleides Pr.",60,34.590,35.700,0.0,0
50604,"Kos",70,27.290,36.890,0.0,0
50649,"Kotyora",70,37.875,41.000,0.0,0
50741,"Krane",80,20.568,38.224,0.0,0
50554,"Kriou Metopon Pr.",60,23.580,35.270,0.0,0
50661,"Krokodilopolis",80,30.839,29.317,0.0,0
50524,"Lacinium Pr.",60,17.200,39.030,0.0,0
50220,"Lacobriga",70,-4.602,42.347,0.0,0
50221,"Lamasba",80,5.909,35.600,0.0,0
50222,"Lambaesis",90,6.262,35.489,0.0,0
50466,"Lamia",80,22.442,38.902,0.0,0
50223,"Lampsacus",80,26.694,40.351,0.0,0
50224,"Lancia",80,-5.415,42.533,0.0,0
50225,"Laodicea",80,35.785,35.521,0.0,0
50431,"Laodicea ad Lycum",90,29.116,37.842,0.0,0
50628,"Lapethos",80,33.173,35.330,0.0,0
50226,"Larinum",80,14.918,41.806,0.0,0
50227,"Larissa",90,22.416,39.639,0.0,0
50674,"Latopolis",80,32.553,25.295,0.0,0
50228,"Lauriacum",80,14.465,48.220,0.0,0
50229,"Legio VII",70,-5.571,42.605,0.0,0
50230,"Lepcis Magna",100,14.292,32.637,0.0,0
50539,"Leucas",80,20.710,38.830,0.0,0
50505,"Lilybaeum",80,12.437,37.798,0.0,0
50231,"Limonum",80,0.354,46.571,0.0,0
50232,"Lindum",80,-0.541,53.237,0.0,0
50469,"Lissus",80,19.663,41.785,0.0,0
50233,"Lixus",80,-6.111,35.209,0.0,0
50234,"Loium",60,0.723,49.522,0.0,0
50523,"Lokroi Epizephyrioi",80,16.260,38.240,0.0,0
50235,"Londinium",100,-0.083,51.520,0.0,0
50236,"Lousonna",60,6.631,46.518,0.0,0
50237,"Luca",90,10.499,43.846,0.0,0
50429,"Lugdunum",100,4.818,45.758,0.0,0
50238,"Lugdunum Cananefatium",70,4.398,52.198,0.0,0
50239,"Lugdunum Convenarum",80,0.559,43.038,0.0,0
50240,"Luguvalium",80,-2.936,54.894,0.0,0
50241,"Luna",90,10.030,44.065,0.0,0
50242,"Lutetia",70,2.340,48.850,0.0,0
50243,"Lydda",90,34.892,31.965,0.0,0
50244,"Lykopolis",80,31.187,27.183,0.0,0
50245,"Magnesia",80,27.526,37.859,0.0,0
50473,"Maiensis Statio",60,11.169,46.659,0.0,0
50713,"Malaca",80,-4.422,36.715,0.0,0
50552,"Malea Pr.",60,23.200,36.440,0.0,0
50246,"Mampsoukrenai",60,34.892,37.079,0.0,0
50249,"Mamucio",70,-2.329,53.464,0.0,0
50247,"Marcianopolis",90,27.437,43.315,0.0,0
50248,"Mariana",70,-2.926,38.558,0.0,0
50501,"Maritima",60,12.060,37.970,0.0,0
50250,"Massilia",80,5.363,43.305,0.0,0
50251,"Mediolanum",100,9.187,45.463,0.0,0
50252,"Mediolanum (Aquitania)",80,-0.630,45.749,0.0,0
50512,"Melita",80,14.400,35.880,0.0,0
50253,"Melitene",90,38.371,38.430,0.0,0
50254,"Memphis",90,31.276,30.003,0.0,0
50492,"Meninge",80,10.920,33.680,0.0,0
50493,"Mercurii Pr.",60,11.013,37.062,0.0,0
50516,"Messana",90,15.557,38.192,0.0,0
50483,"Metagonium Pr.",60,6.467,37.089,0.0,0
50791,"Miletus",70,27.276,37.531,0.0,0
50255,"Minturnae",90,13.768,41.241,0.0,0
50256,"Misenum",80,14.084,40.785,0.0,0
50257,"Mogontiacum",90,8.256,50.007,0.0,0
50677,"Mons Porphyrites",60,33.347,27.208,0.0,0
50678,"Mothis",80,28.949,25.509,0.0,0
50258,"Mounesis",70,30.606,24.683,0.0,0
50617,"Mouth of Pontus",60,29.124,41.212,0.0,0
50759,"Mouth of Witham",6,0.005,52.964,0.0,0
50259,"Mursa",80,18.673,45.549,0.0,0
50260,"Musti",80,9.135,36.341,0.0,0
50261,"Mutina",80,10.924,44.646,0.0,0
50603,"Myndos",70,27.240,37.080,0.0,0
50262,"Myos Hormos",70,34.244,26.156,0.0,0
50439,"Myra",80,29.995,36.244,0.0,0
50644,"Myriandros",80,36.190,36.590,0.0,0
50592,"Mytilene",80,26.310,39.210,0.0,0
50263,"Naissus",90,21.897,43.328,0.0,0
50264,"Narbo",90,3.000,43.197,0.0,0
50265,"Narnia",80,12.515,42.519,0.0,0
50266,"Narona",80,17.632,43.052,0.0,0
50267,"Naucratis",80,30.607,30.854,0.0,0
50467,"Naupactus",80,21.831,38.399,0.0,0
50793,"Naxos",70,25.378,37.103,0.0,0
50268,"Neapolis",90,14.233,40.840,0.0,0
50725,"Neapolis (Thrace)",80,24.468,40.950,0.0,0
